,0
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,1
444,1
445,1
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,1
496,1
497,0
498,0
499,0
500,0
501,1
502,1
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,0
532,0
