,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,0
407,1
408,1
409,0
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,0
452,1
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,1
504,1
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,0
535,1
536,1
537,0
538,0
539,1
540,0
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,1
604,0
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,1
627,0
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,0
657,1
658,1
659,0
660,0
661,0
662,1
663,0
664,1
665,1
666,0
667,1
668,0
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,0
692,1
693,0
694,0
695,1
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,0
713,0
714,1
715,1
716,1
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,1
728,1
729,1
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,1
743,1
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,1
758,0
759,1
760,0
761,0
762,1
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,1
801,1
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,1
811,1
812,1
