,0
0,1
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,0
281,1
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,1
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,1
471,0
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,1
598,1
599,1
600,0
601,0
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,0
638,0
639,0
640,1
641,1
642,1
643,0
644,0
645,0
646,1
647,1
648,0
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,1
667,1
668,1
669,0
670,1
671,1
672,0
673,1
674,1
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,1
698,1
699,0
700,0
701,1
702,1
703,0
704,0
705,1
706,0
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,0
717,0
718,1
719,1
720,1
721,1
722,1
723,1
724,0
725,1
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,1
753,0
754,0
755,0
756,0
757,0
758,0
759,1
760,0
761,1
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,1
798,0
799,0
800,0
801,0
802,0
803,1
804,1
805,0
806,1
807,1
808,0
809,0
810,0
811,1
812,1
