,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,0
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,1
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,0
