,0
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,1
295,0
296,1
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,1
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,1
445,1
446,0
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,1
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,0
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,1
557,0
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,1
610,1
611,1
612,0
613,1
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,1
653,1
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,0
663,0
664,0
665,1
666,1
667,0
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,0
684,1
685,0
686,1
687,0
688,1
689,0
690,0
691,0
692,0
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,0
707,0
708,1
709,1
710,1
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,0
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,0
735,0
736,1
737,1
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,1
746,0
747,1
748,1
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,0
761,1
762,1
763,1
764,1
765,0
766,1
767,0
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,0
784,1
785,0
786,0
787,1
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,1
796,0
797,0
798,1
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,0
816,1
817,0
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,1
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,1
843,0
844,1
845,0
846,1
847,1
848,1
849,0
850,0
851,0
852,1
853,0
854,1
855,0
856,1
857,1
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,1
875,0
876,0
877,0
878,0
879,1
880,0
881,0
882,1
883,0
884,1
885,1
886,0
887,0
888,0
889,1
890,0
891,0
892,1
893,0
894,1
895,0
896,0
897,1
898,0
899,0
900,0
901,1
902,1
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,1
924,1
925,1
926,1
927,1
928,1
929,0
930,0
931,1
932,1
933,0
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,1
942,0
943,0
944,0
945,0
946,1
947,0
948,0
949,0
950,1
951,1
952,1
953,1
954,0
955,1
956,1
957,0
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,1
979,0
980,1
981,1
982,1
983,1
984,1
985,1
986,0
987,0
988,0
989,0
990,1
991,0
992,0
993,0
994,0
995,0
996,1
997,1
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,1
1048,1
1049,1
1050,0
1051,1
1052,0
1053,1
1054,0
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,1
1084,0
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,0
1094,0
1095,0
1096,1
1097,0
1098,1
1099,0
1100,1
1101,1
1102,1
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,1
1118,1
1119,0
1120,0
1121,0
1122,1
1123,0
1124,1
1125,0
1126,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,1
1142,1
1143,1
1144,1
1145,0
1146,0
1147,0
1148,1
1149,0
1150,0
1151,1
1152,0
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,0
1164,0
1165,1
1166,1
1167,0
1168,1
1169,1
1170,1
1171,0
1172,0
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,0
1200,1
1201,0
1202,1
1203,0
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,1
1218,0
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,0
1226,1
1227,1
1228,0
1229,0
1230,1
