,0
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,1
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,1
530,1
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,1
542,1
543,0
544,0
545,0
546,1
547,1
548,0
549,0
550,0
551,1
552,0
553,0
554,1
555,0
556,0
557,1
558,0
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,1
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,1
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,1
618,1
619,0
620,0
621,1
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,0
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,1
664,0
665,1
666,0
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,0
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,0
698,1
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,0
717,1
718,0
719,0
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,1
751,1
752,0
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,0
761,0
762,1
763,0
764,0
765,0
766,1
767,1
768,1
769,1
770,0
771,0
772,0
773,1
774,1
775,0
776,0
777,1
778,1
779,1
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,1
796,0
797,0
798,0
799,1
800,0
801,0
802,0
803,0
804,1
805,1
806,1
807,1
808,0
809,1
810,1
811,1
812,1
