,0
0,1
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,1
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,0
386,1
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,1
419,0
420,0
421,1
422,0
423,1
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,1
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,0
498,1
499,0
500,0
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,1
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,1
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,0
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,0
645,0
646,1
647,0
648,1
649,1
650,0
651,1
652,0
653,1
654,1
655,0
656,1
657,1
658,0
659,0
660,0
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,0
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,0
691,0
692,0
693,1
694,0
695,1
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,1
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,0
724,1
725,1
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,0
758,0
759,0
760,1
761,1
762,1
763,1
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,0
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,1
811,0
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,0
821,0
822,1
823,1
824,1
825,0
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,1
835,0
836,0
837,1
838,1
839,1
840,1
841,0
842,0
843,0
844,1
845,1
846,0
847,0
848,1
849,0
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,0
858,0
859,0
860,0
861,0
862,1
863,0
864,0
865,1
866,0
867,1
868,1
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,0
881,0
882,0
883,0
884,1
885,0
886,0
887,0
888,1
889,1
890,1
891,1
892,1
893,0
894,0
895,0
896,1
897,1
898,1
899,1
900,0
901,0
902,1
903,1
904,1
905,0
906,1
907,1
908,1
909,0
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,1
920,1
921,1
922,0
923,0
924,1
925,1
926,1
927,1
928,0
929,0
930,0
931,0
932,0
933,1
934,1
935,1
936,1
937,1
938,1
939,0
940,0
941,1
942,1
943,0
944,1
945,0
946,0
947,0
948,1
949,0
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,0
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,0
968,1
969,0
970,0
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,0
991,0
992,1
993,0
994,1
995,1
996,0
997,1
998,1
999,0
1000,1
1001,1
1002,0
1003,1
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,0
1017,1
1018,1
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,1
1067,1
1068,0
1069,1
1070,0
1071,0
1072,0
1073,1
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,1
1083,0
1084,0
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,1
1100,1
1101,1
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,1
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,1
1118,1
1119,1
1120,1
1121,0
1122,1
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,1
1138,1
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,0
1167,0
1168,0
1169,1
1170,0
1171,0
1172,0
1173,1
1174,0
1175,0
1176,0
1177,1
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,0
1198,0
1199,1
1200,0
1201,1
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,0
1209,1
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,1
1228,0
1229,1
1230,0
