,0
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,1
426,1
427,0
428,0
429,1
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,1
479,1
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,1
492,0
493,1
494,1
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,0
503,1
504,1
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,1
558,0
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,1
568,0
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,0
613,0
614,1
615,1
616,0
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,0
625,1
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,0
640,1
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,1
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,0
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,1
685,1
686,0
687,0
688,1
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,1
726,1
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,1
737,0
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,1
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,1
769,0
770,0
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,0
793,1
794,1
795,1
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,1
811,0
812,1
