,0
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,1
534,0
535,0
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,1
556,1
557,0
558,0
559,0
560,1
561,1
562,1
563,0
564,1
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,1
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,1
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,1
608,0
609,1
610,0
611,1
612,0
613,0
614,0
615,0
616,1
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,0
642,0
643,0
644,1
645,1
646,0
647,1
648,0
649,0
650,1
651,1
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,0
665,0
666,0
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,0
675,1
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,1
732,1
733,1
734,0
735,0
736,0
737,1
738,1
739,1
740,0
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,0
749,0
750,0
751,0
752,1
753,1
754,0
755,0
756,1
757,0
758,1
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,1
768,0
769,0
770,0
771,0
772,0
773,1
774,0
775,0
776,1
777,1
778,0
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,0
790,1
791,1
792,1
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,1
804,0
805,1
806,0
807,1
808,1
809,0
810,0
811,1
812,1
813,0
814,1
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,1
829,1
830,0
831,1
832,0
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,1
843,0
844,0
845,0
846,0
847,1
848,0
849,0
850,1
851,0
852,1
853,0
854,0
855,1
856,0
857,1
858,0
859,1
860,1
861,1
862,0
863,1
864,1
865,0
866,0
867,0
868,0
869,1
870,0
871,0
872,0
873,0
874,1
875,0
876,1
877,1
878,0
879,0
880,1
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,0
890,0
891,0
892,1
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,0
911,1
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,0
921,1
922,0
923,1
924,0
925,0
926,0
927,0
928,1
929,1
930,1
931,0
932,0
933,0
934,1
935,1
936,0
937,0
938,0
939,1
940,0
941,1
942,0
943,0
944,1
945,0
946,0
947,1
948,1
949,0
950,0
951,1
952,0
953,1
954,0
955,0
956,1
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,1
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,0
988,0
989,0
990,0
991,0
992,1
993,1
994,0
995,1
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,1
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,0
1053,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,0
