,0
0,1
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,0
421,0
422,1
423,0
424,1
425,1
426,1
427,0
428,0
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,1
458,1
459,0
460,1
461,1
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,0
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,1
514,1
515,0
516,1
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,1
601,1
602,1
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,1
633,0
634,1
635,0
636,0
637,1
638,0
639,1
640,1
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,1
655,1
656,0
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,1
710,0
711,1
712,0
713,1
714,1
715,1
716,0
717,1
718,1
719,1
720,0
721,0
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,1
747,0
748,1
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,1
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,0
771,1
772,1
773,1
774,1
775,0
776,0
777,0
778,0
779,1
780,0
781,1
782,0
783,0
784,1
785,1
786,1
787,1
788,0
789,1
790,0
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,0
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,0
812,1
