,0
0,1
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,0
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,1
551,0
552,0
553,1
554,0
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,1
576,1
577,1
578,0
579,0
580,0
581,0
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,1
642,1
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,1
664,1
665,0
666,1
667,0
668,1
669,1
670,0
671,0
672,1
673,1
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,0
682,0
683,1
684,0
685,0
686,1
687,0
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,0
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,0
720,1
721,1
722,0
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,0
731,0
732,1
733,0
734,1
735,0
736,1
737,1
738,1
739,0
740,0
741,1
742,0
743,0
744,0
745,0
746,1
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,0
760,1
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,0
780,1
781,1
782,1
783,0
784,1
785,1
786,0
787,0
788,0
789,0
790,1
791,1
792,1
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,1
802,0
803,1
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,1
