,0
0,1
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,0
531,1
532,1
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,1
554,0
555,1
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,1
566,0
567,0
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,1
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,1
678,0
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,0
726,1
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,1
742,0
743,1
744,1
745,1
746,1
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,1
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,1
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,1
807,0
808,1
809,0
810,0
811,1
812,1
